0.2211,-0.0929,0.2716
0.2882,-0.0739,0.3146
0.2714,-0.0849,0.3726
0.2347,-0.0722,0.3714
0.2480,-0.0780,0.3009
0.2365,-0.0491,0.3103
0.2354,-0.0231,0.2902
0.2322,-0.0189,0.3365
0.2808,0.0344,0.3036
0.2284,-0.0233,0.2457
0.2438,0.0163,0.3343
0.2811,0.0540,0.3269
0.2158,-0.0228,0.3413
0.2873,0.0503,0.2737
0.2680,-0.0664,0.2718
0.2228,-0.0405,0.2591
0.2286,0.0586,0.2871
0.2555,-0.0513,0.3541
0.2200,0.0345,0.3675
0.2476,-0.0461,0.2650
0.2692,-0.0339,0.2415
0.2161,0.0240,0.2277
0.2793,0.0489,0.2158
0.2990,0.0566,0.2370
0.3068,0.0109,0.2979
0.3242,0.0102,0.3349
0.2989,0.0242,0.3725
0.3227,0.0351,0.3598
0.2951,-0.0132,0.3268
0.2962,-0.0488,0.2770
0.2939,-0.0945,0.2290
0.3001,-0.0473,0.2469
0.3194,-0.0900,0.2249
0.3565,-0.0784,0.2407
0.3349,0.0375,0.2549
0.3412,-0.0421,0.3205
0.3493,0.0615,0.2672
0.3591,-0.0182,0.3019
0.3562,0.0252,0.2598
0.3796,0.0135,0.2702
0.3924,0.0089,0.2609
0.3801,0.0657,0.3460
0.4399,-0.0130,0.2941
0.3977,0.0272,0.2690
0.3699,0.0253,0.3029
0.4348,0.0264,0.2595
0.3841,0.0091,0.2589
0.4831,0.0504,0.2603
0.4654,0.0407,0.2685
0.3897,0.0624,0.2620
0.3775,0.0576,0.2517
0.4896,0.0640,0.2475
0.3744,0.0125,0.2166
0.3971,-0.0065,0.2207
0.3959,0.0010,0.2131
0.3626,-0.0005,0.2449
0.4840,0.0637,0.2382
0.4452,0.0432,0.2179
0.4759,0.0037,0.2144
0.4218,-0.0235,0.2370
0.4339,-0.0547,0.2296
0.4186,-0.0720,0.2628
0.3645,-0.0450,0.2593
0.3634,-0.0673,0.2178
0.3836,-0.0962,0.2192
0.3443,-0.1571,0.2408
0.3156,-0.1715,0.2241
0.3680,-0.1491,0.2534
0.3195,-0.1253,0.3180
0.3282,-0.1340,0.3004
0.4347,-0.1052,0.2734
0.3315,-0.1750,0.3389
0.3985,-0.1176,0.2659
0.4109,-0.1661,0.2328
0.3488,-0.1549,0.3102
0.3624,-0.1630,0.2202
0.3481,-0.1982,0.2197
0.4167,-0.2620,0.2263
0.3633,-0.2434,0.2850
0.3323,-0.2436,0.3425
0.3232,-0.2714,0.3146
0.3100,-0.2582,0.3266
0.3769,-0.2522,0.3197
0.3431,-0.2519,0.2651
0.3144,-0.2357,0.3622
0.3132,-0.2310,0.3711
0.3045,-0.2672,0.2947
0.2788,-0.2638,0.2733
0.2138,-0.2070,0.3413
0.2999,-0.1924,0.2935
0.2451,-0.2741,0.2785
0.2390,-0.2570,0.3692
0.2708,-0.2444,0.2667
0.2939,-0.2105,0.2144
0.2994,-0.2105,0.2459
0.2898,-0.2288,0.2980
0.2315,-0.2158,0.2948
0.2414,-0.1937,0.2996
0.2324,-0.1822,0.2911
0.2111,-0.1644,0.2891
0.2749,-0.1485,0.3102
0.2256,-0.1217,0.3195
0.2113,-0.1749,0.2660
0.2444,-0.1686,0.2348
0.2436,-0.1217,0.2851
0.2724,-0.1213,0.3039
0.2550,-0.1654,0.3493
0.2645,-0.1599,0.3672
0.2605,-0.1782,0.3179
0.2646,-0.1572,0.3728
0.2218,-0.0977,0.2621
0.2078,-0.0888,0.2845
0.1990,-0.0856,0.3180
0.2068,-0.0886,0.3533
0.1940,-0.1265,0.3631
0.1334,-0.1361,0.3656
0.1745,-0.1952,0.3085
0.1256,-0.1240,0.3441
0.1845,-0.2044,0.3296
0.1345,-0.1905,0.3693
0.1414,-0.1228,0.3085
0.2037,-0.1729,0.3681
0.1262,-0.2365,0.3648
0.1706,-0.2185,0.3549
0.1442,-0.1682,0.3110
0.1511,-0.1643,0.2648
0.1584,-0.2717,0.2303
0.1946,-0.2708,0.2349
0.1273,-0.2188,0.2779
0.1537,-0.1753,0.2645
0.1912,-0.2357,0.2372
0.1393,-0.1999,0.2113
0.1688,-0.1494,0.2755
0.1659,-0.1800,0.2299
0.1642,-0.1144,0.2529
0.1655,-0.1047,0.2322
0.1388,-0.1013,0.2939
0.1449,-0.1091,0.3477
0.1270,-0.1016,0.3673
0.1599,-0.1020,0.3470
0.1815,-0.0936,0.3007
0.1811,-0.0712,0.2935
0.1898,-0.0760,0.2599
0.1812,-0.0684,0.3018
0.1428,-0.0728,0.2812
0.1476,-0.0489,0.2720
0.1744,-0.0462,0.2814
0.1398,-0.0179,0.2691
0.1387,-0.0315,0.2543
0.1432,-0.0204,0.2138
0.2008,-0.0490,0.2232
0.1286,-0.0353,0.3587
0.1804,-0.0456,0.3469
0.1620,-0.0150,0.3288
0.1655,-0.0070,0.2961
0.1856,0.0531,0.2971
0.1764,0.0491,0.3515
0.1719,0.0028,0.2123
0.1641,0.0206,0.3457
0.1981,0.0164,0.3064
0.1520,0.0324,0.2586
0.1829,0.0563,0.2951
0.1449,0.0243,0.2725
0.1947,0.0604,0.2778
0.2089,0.0801,0.2857
0.1438,0.0889,0.3180
0.2169,0.0954,0.3353
0.2639,0.1253,0.3355
0.1948,0.0807,0.3197
0.1500,0.1130,0.3523
0.2325,0.1108,0.3146
0.2050,0.1005,0.2926
0.2184,0.1088,0.3327
0.2026,0.1175,0.3239
0.1490,0.1434,0.3507
0.1368,0.1427,0.3357
0.1348,0.1169,0.3717
0.1454,0.0954,0.2936
0.1661,0.0995,0.2705
0.1970,0.1188,0.2106
0.1360,0.1236,0.2697
0.1386,0.1203,0.2329
0.2656,0.1090,0.2666
0.1280,0.1176,0.2499
0.2636,0.1066,0.2790
0.1505,0.0870,0.2099
0.1851,0.0958,0.2246
0.2745,0.1273,0.2446
0.1709,0.0851,0.2746
0.2141,0.1287,0.2183
0.2516,0.1275,0.2814
0.2713,0.1706,0.2936
0.2337,0.2031,0.2467
0.1262,0.1752,0.2509
0.1760,0.2606,0.3267
0.2014,0.1939,0.3357
0.1385,0.2213,0.2764
0.1789,0.1884,0.2512
0.1639,0.2582,0.2563
0.1583,0.2528,0.2539
0.1782,0.2374,0.3120
0.2337,0.2202,0.2650
0.2135,0.2583,0.2662
0.1953,0.1745,0.2893
0.1701,0.2020,0.2353
0.1820,0.2279,0.3061
0.2395,0.2745,0.3451
0.2599,0.2350,0.3477
0.2536,0.2710,0.2421
0.2696,0.2442,0.2441
0.2822,0.2256,0.2311
0.3726,0.2190,0.2725
0.4076,0.2208,0.2191
0.3806,0.1796,0.2369
0.4095,0.1011,0.2592
0.4251,0.0796,0.3106
0.4259,0.1347,0.2731
0.3830,0.1202,0.2827
0.4051,0.1360,0.2828
0.3744,0.1519,0.3367
0.4072,0.0851,0.2252
0.4212,0.1676,0.2289
0.3814,0.1306,0.3107
0.3759,0.0866,0.2440
0.3518,0.0845,0.2513
0.3327,0.1354,0.2455
0.3336,0.1768,0.2563
0.3178,0.1444,0.3025
0.3303,0.1254,0.2979
0.3334,0.2010,0.2233
0.2907,0.1118,0.3268
0.3005,0.1406,0.3038
0.3169,0.0730,0.3499
0.2988,0.1497,0.2649
0.3109,0.1067,0.2806
0.3069,0.1463,0.3502
0.3042,0.1408,0.3507
0.3275,0.1921,0.2646
0.3053,0.1155,0.3225
0.2844,0.1266,0.3147
0.3336,0.2102,0.3018
0.3074,0.2262,0.3553
0.2819,0.2268,0.2856
0.2822,0.2494,0.2768
0.3600,0.2741,0.2589
0.4247,0.2475,0.2374
0.4001,0.2417,0.2702
0.4307,0.2418,0.2358
0.3585,0.2574,0.2166
0.3443,0.2374,0.2892
0.3544,0.2322,0.2989
0.3614,0.1807,0.2830
0.3585,0.2378,0.3403
0.3089,0.1936,0.2712
0.3414,0.1489,0.3396
0.3390,0.1799,0.2555
0.3156,0.2685,0.2489
0.3073,0.2441,0.3265
0.2975,0.2105,0.2370
0.2916,0.1912,0.2204
0.2541,0.2299,0.2455
0.2423,0.1999,0.2739
0.2344,0.1687,0.2452
0.2303,0.2190,0.2377
0.2213,0.1924,0.2365
0.1611,0.2493,0.2680
0.1745,0.2555,0.2538
0.2046,0.2022,0.2575
0.1465,0.2114,0.2269
0.2531,0.1751,0.2766
0.2535,0.1739,0.3027
0.2496,0.1575,0.3183
0.2725,0.1564,0.3184
0.2857,0.2698,0.2812
0.2817,0.2206,0.3596
0.2912,0.1348,0.3497
0.2553,0.1818,0.3100
0.2176,0.1805,0.3071
0.2159,0.1919,0.3095
0.1991,0.2748,0.3448
0.1678,0.1750,0.3558
0.1841,0.2578,0.2808
0.1561,0.2448,0.3238
0.1843,0.2686,0.3601
0.1434,0.2700,0.2814
0.1883,0.2211,0.3396
0.1911,0.1365,0.3714
0.1666,0.1560,0.3164
0.1743,0.2480,0.3384
0.1663,0.2088,0.3006
0.2296,0.1418,0.3514
0.1840,0.1373,0.3743
0.2403,0.1377,0.3345
0.2214,0.1202,0.3121
0.1843,0.0335,0.3364
0.1799,0.0706,0.3447
0.2489,0.1139,0.3663
0.1794,0.0186,0.3290
0.2184,0.1105,0.3404
0.2007,0.0637,0.3104
0.2027,0.0336,0.3698
0.2031,0.0840,0.3105
0.2632,0.1212,0.3746
0.1646,0.0861,0.3152
0.1770,0.0770,0.3087
0.2290,0.0462,0.2163
0.1662,0.0270,0.2917
0.2010,0.0632,0.2759
0.1991,0.1255,0.2509
0.1442,0.1064,0.2630
0.1803,0.1210,0.2206
0.1814,0.0116,0.2382
0.1454,0.1263,0.3076
0.1987,0.0240,0.2245
0.1885,0.1230,0.2641
0.2256,0.0968,0.2990
