0.1960,-0.0496,0.4404
0.3658,-0.0565,0.4481
0.2653,-0.0479,0.3541
0.2778,-0.0522,0.2548
0.3992,-0.0531,0.2218
0.3670,-0.0463,0.2351
0.3845,-0.0485,0.1912
0.3157,-0.0486,0.2171
0.2316,-0.0505,0.2164
0.1475,-0.0434,0.2231
0.2311,-0.0468,0.2170
0.2299,-0.0362,0.2368
0.2473,0.0657,0.2596
0.2345,0.0087,0.2487
0.2691,-0.0108,0.2514
0.3215,-0.0143,0.2448
0.2824,-0.0073,0.2671
0.3430,0.0269,0.1725
0.4096,0.0012,0.2546
0.3535,0.0492,0.2348
0.3449,-0.0014,0.1778
0.3641,0.0076,0.2773
0.3644,0.0117,0.2225
0.3092,0.0381,0.2748
0.2941,-0.0142,0.2692
0.2844,-0.0299,0.2931
0.2826,-0.0376,0.4236
0.2478,0.0007,0.3694
0.2445,0.0093,0.3411
0.3041,-0.0411,0.4343
0.2593,0.0419,0.2949
0.2549,0.0682,0.3521
0.3125,0.0588,0.4450
0.2787,-0.0046,0.4237
0.2603,-0.0051,0.2958
0.2553,-0.0356,0.3780
0.3134,0.0121,0.4093
0.3212,0.0381,0.3867
0.3842,0.0110,0.4130
0.3507,-0.0294,0.4456
0.3764,0.0148,0.3791
0.3842,0.0007,0.3664
0.3348,0.0595,0.3799
0.3259,-0.0326,0.4634
0.4344,0.0721,0.3930
0.4417,0.0570,0.3498
0.4313,0.0022,0.3114
0.4029,-0.0120,0.3141
0.4221,-0.0055,0.3257
0.3426,-0.0116,0.3443
0.3548,0.0688,0.3371
0.3439,0.1025,0.3379
0.2638,0.1710,0.3335
0.2693,0.1918,0.3379
0.2626,0.1873,0.3131
0.3123,0.2693,0.2721
0.2859,0.2391,0.2877
0.3496,0.1956,0.3099
0.3676,0.2280,0.2786
0.2530,0.2395,0.2778
0.2430,0.2663,0.2733
0.2962,0.2663,0.3126
0.3564,0.2504,0.2718
0.3584,0.2487,0.2675
0.2776,0.1895,0.2256
0.3132,0.2580,0.2423
0.2615,0.1883,0.2638
0.3088,0.2623,0.1689
0.3678,0.2186,0.2152
0.3803,0.2520,0.2440
0.3174,0.2525,0.2659
0.2764,0.1751,0.2233
0.2783,0.1475,0.2420
0.3302,0.1305,0.2569
0.3191,0.1105,0.2802
0.2264,0.1121,0.2148
0.2875,0.1486,0.2883
0.2366,0.1605,0.2997
0.2269,0.1099,0.3383
0.2708,0.1086,0.3589
0.3663,0.1238,0.3662
0.3194,0.1310,0.3745
0.3667,0.1956,0.3706
0.3648,0.1997,0.4010
0.3195,0.1543,0.4221
0.3758,0.1825,0.4557
0.3771,0.0982,0.4035
0.2472,0.0865,0.4543
0.2483,0.1014,0.3936
0.2895,0.1542,0.4428
0.3489,0.1800,0.4103
0.2308,0.1875,0.3997
0.2433,0.2035,0.4041
0.3820,0.2598,0.4660
0.2758,0.2438,0.3984
0.2946,0.2568,0.3990
0.3312,0.2151,0.4641
0.2332,0.2098,0.4582
0.2836,0.2286,0.3962
0.2239,0.2036,0.4468
0.2065,0.2090,0.4424
0.1674,0.0894,0.3679
0.2157,0.1152,0.4225
0.1279,0.1759,0.4070
0.1433,0.1538,0.3966
0.1733,0.1516,0.3687
0.1376,0.1919,0.3518
0.2047,0.1827,0.3889
0.1429,0.2045,0.4181
0.1486,0.2065,0.3839
0.1382,0.2283,0.3876
0.1899,0.2475,0.4233
0.1994,0.2538,0.3684
0.2013,0.2470,0.4274
0.1979,0.2287,0.3516
0.1432,0.2115,0.3594
0.1253,0.2116,0.3504
0.2190,0.2053,0.2210
0.1994,0.2732,0.2584
0.1473,0.2590,0.2426
0.1932,0.1914,0.2278
0.1729,0.1921,0.3091
0.1539,0.2523,0.2351
0.1894,0.1596,0.2609
0.2115,0.2143,0.2256
0.1484,0.1635,0.2622
0.1636,0.1316,0.2634
0.1427,0.1086,0.3370
0.2157,0.1383,0.2843
0.2044,0.1165,0.2995
0.1265,0.1244,0.3423
0.1549,0.1174,0.2464
0.1973,0.0902,0.2584
0.1867,0.0819,0.2709
0.1656,0.0856,0.2467
0.1627,0.0118,0.2259
0.1254,0.0330,0.2432
0.1766,0.0577,0.2718
0.1770,0.0870,0.2990
0.1832,0.0195,0.3177
0.1435,0.0504,0.3560
0.1940,-0.0123,0.3917
0.1264,0.0078,0.4046
0.2140,0.0715,0.3922
0.1694,0.0320,0.3900
0.1334,0.0859,0.4623
0.1350,0.0508,0.3517
0.1772,-0.0119,0.3394
0.2107,-0.0334,0.3097
0.2052,-0.0595,0.3167
0.2040,-0.0634,0.4299
0.2073,-0.0603,0.4294
0.3952,-0.0671,0.4471
0.2482,-0.0576,0.3316
0.2518,-0.0573,0.2474
0.2554,-0.0589,0.2273
0.3260,-0.0643,0.2453
0.3244,-0.0924,0.2438
0.3764,-0.0898,0.2319
0.3407,-0.0827,0.2156
0.2989,-0.0926,0.2484
0.1811,-0.0753,0.2643
0.2043,-0.0718,0.2693
0.2725,-0.0915,0.3782
0.1332,-0.0889,0.4349
0.2151,-0.0909,0.4200
0.3825,-0.0804,0.4734
0.2770,-0.0895,0.4130
0.2923,-0.0989,0.4239
0.2058,-0.1362,0.4130
0.2361,-0.1166,0.4728
0.1858,-0.1023,0.4348
0.1595,-0.1325,0.4281
0.3269,-0.1463,0.4170
0.3241,-0.1299,0.3688
0.2859,-0.1184,0.3882
0.2736,-0.1069,0.3485
0.1344,-0.1377,0.3651
0.2785,-0.1180,0.3252
0.2807,-0.1451,0.2860
0.2267,-0.1134,0.2152
0.3185,-0.1270,0.1812
0.2229,-0.0943,0.2660
0.2351,-0.1074,0.2822
0.3171,-0.1375,0.2302
0.3610,-0.1451,0.2393
0.3864,-0.1323,0.3884
0.3810,-0.1018,0.3824
0.3298,-0.0980,0.3728
0.3807,-0.1428,0.2891
0.3316,-0.1365,0.3626
0.3083,-0.1587,0.3513
0.3103,-0.1934,0.2020
0.2801,-0.1870,0.2140
0.2746,-0.2627,0.2238
0.2312,-0.2545,0.3084
0.1757,-0.2034,0.3054
0.1971,-0.2431,0.2975
0.1686,-0.2567,0.2863
0.1541,-0.1573,0.3369
0.2064,-0.2141,0.3320
0.1679,-0.2066,0.3006
0.2429,-0.2668,0.3259
0.2407,-0.2275,0.3100
0.2319,-0.1930,0.3363
0.1388,-0.2489,0.3555
0.1277,-0.2569,0.3481
0.1663,-0.1797,0.2866
0.1715,-0.1911,0.2597
0.1821,-0.1567,0.2287
0.1500,-0.1568,0.2239
0.1529,-0.1994,0.2539
0.1332,-0.1766,0.2553
0.2120,-0.1950,0.2419
0.2163,-0.1988,0.1940
0.2724,-0.2459,0.2039
0.2918,-0.2529,0.2100
0.2927,-0.2305,0.2667
0.3058,-0.1821,0.3193
0.3066,-0.1874,0.2367
0.3161,-0.1983,0.2363
0.3509,-0.2299,0.2353
0.3284,-0.2341,0.1702
0.3843,-0.2497,0.2666
0.3660,-0.2566,0.3052
0.3444,-0.1804,0.3044
0.3211,-0.2224,0.3109
0.3323,-0.1793,0.3514
0.3590,-0.2339,0.3297
0.3501,-0.1722,0.3385
0.3234,-0.1894,0.3140
0.3272,-0.2150,0.3384
0.3192,-0.2294,0.3397
0.2996,-0.2414,0.3712
0.3805,-0.2234,0.3942
0.2856,-0.1733,0.3859
0.3196,-0.2638,0.3933
0.3610,-0.1802,0.3871
0.2587,-0.2695,0.4391
0.2284,-0.2569,0.4219
