img_name,side,lx,ly,rx,ry,mx,my
calib_cam_1_33.jpg,right,286.75,687.25,297,684.5,292.5,688.5
calib_cam_1_34.jpg,left,477,599,489.75,596.25,483.5,600.5
calib_cam_1_34.jpg,right,282,691,294.5,688,288.75,692.25
calib_cam_1_34.jpg,right,282,691,298,688,288.75,692.25
calib_cam_1_38.jpg,left,505,609.5,515,606.5,511,610.5
calib_cam_1_38.jpg,right,299,698,308.5,696.5,304.5,700
calib_cam_1_39.jpg,left,503,610,513.5,607.5,509,611.5
calib_cam_1_39.jpg,right,297,699.5,307,697.5,302.5,701
calib_cam_1_41.jpg,right,282,707.5,292,705.5,287.75,709.25
calib_cam_1_42.jpg,left,480.5,616,491,613,486.5,617.5
calib_cam_1_42.jpg,right,282.5,707.5,292.5,704.5,288,708.5
calib_cam_1_43.jpg,right,279.75,709.75,293,706,286.5,710.5
calib_cam_1_44.jpg,right,276.75,711.75,286,707,284.5,712.5
